Registry_ID,Site name,Seed URL,Business area 1,Business area 2,Type,Owner,Description,URL status,Redirects to,Preservation status,ACT ID,AWS ID,Accession no,Crawl start date,Crawl frequency,Crawl depth,Licence Status,Notes
WAR500,"Moray House School of Education and Sport | University of Edinburgh, The",https://education-sport.ed.ac.uk/,CAHSS,Education,School,,"The School of Education and Sport is part of the College of Arts, Humanities, and Social Sciences at the University of Edinburgh. It is currently subdivided into four institutes for Education, Community and Society; Education, Teaching and Leadership; Sport, Physical Education and Health Sciences; and Language Education.",Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR501,"Centre for Theology and Public Issues | University of Edinburgh, The",https://divinity.ed.ac.uk/ctpi/,CAHSS,Divinity,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR502,"Doctoral College | University of Edinburgh, The",https://doctoral-college.ed.ac.uk/,USG,Student Experience Services,Service,,,Active,,Active UKWA crawl,179877,253087,,07/03/2023,Daily,Capped large,Umbrella - auto,
WAR503,"School of History, Classics and Archaeology | University of Edinburgh, The",https://hca.ed.ac.uk/,CAHSS,HCA,School,,"The School of History, Classics and Archaeology (HCA) is part of the College of Arts, Humanities and Social Sciences at the University of Edinburgh. The School comprises the three subject areas of History, Classics, and Archaeology, together with the Centres for the Study of Modern and Contemporary History, Global History, and Medieval and Renaissance Studies.",Active,,Active UKWA crawl,,253038,,26/11/2024,Monthly,Capped,Umbrella - auto,Part of crawl for pre-migration URL - remove and create new?
WAR504,"EDINA | University of Edinburgh, The",https://edina.ac.uk/,ISG,EDINA,Centre/Institute,,EDINA is a research centre based at the University of Edinburgh for data and digital expertise.,Active,,Active UKWA crawl,34224,,,20/01/2016,Sixmonthly,Capped large,Umbrella - auto,
WAR505,"Edinburgh Biofilms Innovation | University of Edinburgh, The",https://edinburgh-biofilms-innovation.ed.ac.uk/,CSE,Physics & Astronomy,Research activity,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR506,"Edinburgh Fertility Preservation | University of Edinburgh, The",https://edinburgh-fertility-preservation.ed.ac.uk/,CMVM,Clinical Sciences,Research activity,,"Site of a research group working to develop procedures for fertility preservation in children and young adults, usually cancer patients, who are due to undergo treatment which may compromise their long-term fertility",Active,,Active UKWA crawl,178319,,,07/03/2023,Weekly,Capped,Umbrella - auto,
WAR507,"Edinburgh Infectious Diseases | University of Edinburgh, The",https://edinburgh-infectious-diseases.ed.ac.uk/,CMVM,Biomedical Sciences,Research activity,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR508,"Edinburgh Innovations Ltd | University of Edinburgh, The",https://edinburgh-innovations.ed.ac.uk/,CSG,Edinburgh Innovations Ltd,Department,,,Active,,Active UKWA crawl,,253063,,25/08/2024,Monthly,Capped,Umbrella - auto,
WAR509,"Edinburgh International Data Facility | University of Edinburgh, The",https://edinburgh-international-data-facility.ed.ac.uk/,CSE,UNKNOWN,Service,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR510,"Edinburgh Pregnancy Research | University of Edinburgh, The",https://edinburgh-pregnancy-research.ed.ac.uk/,CMVM,Clinical Sciences,Research activity,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR511,Edinburgh Spanish Film Festival,https://edinburghspanishfilmfestival.com/,CAHSS,LLC,UNKNOWN,,Site of a film festival established in 2013 to showcase Spanish film and cultivate interest and links around Hispanic culture in Scotland.,Active,,Active UKWA crawl,56717,,,18/08/2017,Domain only,Capped,Umbrella - manual,
WAR512,"School of Health in Social Science | University of Edinburgh, The",https://health.ed.ac.uk/,CAHSS,HSS,School,,"The School of Health in Social Science (HiSS) is part of the College of Arts, Humanities and Social Sciences at the University of Edinburgh, and is comprised of three subject areas (Clinical and Health Psychology; Nursing Studies; Counselling, Psychotherapy and Applied Social Science).",Active,,Active UKWA crawl,,253037,,25/08/2024,Monthly,Capped,Umbrella - auto,
WAR513,"Institute for Education, Community and Society (IECS) | University of Edinburgh, The",https://education-sport.ed.ac.uk/institutes/ecs/,CAHSS,Education,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR514,"Institute for Education, Teaching and Leadership (IETL) | University of Edinburgh, The",https://education-sport.ed.ac.uk/institutes/etl/,CAHSS,Education,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR515,"Institute for Language Education (ILE) | University of Edinburgh, The",https://education-sport.ed.ac.uk/institutes/le/,CAHSS,Education,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR516,"Institute for Sport, Physical Education and Health Sciences (ISPEHS) | University of Edinburgh, The",https://education-sport.ed.ac.uk/institutes/spehs/,CAHSS,Education,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
WAR517,"Energy and Society | University of Edinburgh, The",https://energy-society.ed.ac.uk/,CAHSS,Social & Political Sciences,Research activity,,"Site of a network of University of Edinburgh social scientists whose research, teaching and impact directly address the challenges posed by energy transitions worldwide. ",Active,,Active UKWA crawl,179878,,,07/03/2023,Daily,Capped,Umbrella - auto,
WAR518,"Institute for Bioengineering (IBioE) | University of Edinburgh, The",https://eng.ed.ac.uk/research/institutes/ibioe/,CSE,Engineering,Centre/Institute,,,Active,,Added to UKWA - AWS,,,,26/11/2024,Monthly,Capped,Umbrella - auto,
